trial	condition	RT	correct
1	1	2.8364	1
2	2	2.171	0
3	3	0.7706	0
4	4	2.4475	0
5	1	2.5828	1
6	2	1.6524	0
7	3	0.7542	0
8	4	2.7189	1
9	1	2.6319	1
10	2	1.6297	0
11	3	1.0375	1
12	4	2.6948	0
13	1	2.5533	1
14	2	1.6403	0
15	3	0.7488	1
16	4	3.1668	1
17	1	2.6138	1
18	2	1.6068	0
19	3	0.2765	1
20	4	2.6652	1
21	1	2.804	1
22	2	1.7298	0
23	3	0.6883	1
24	4	3.039	1
25	1	2.7637	1
26	2	1.9299	0
27	3	0.8069	1
28	4	2.9497	0
29	1	2.8714	1
30	2	1.3935	0
31	3	0.6593	1
32	4	2.6824	0
33	1	2.682	1
34	2	1.4995	0
35	3	1.0426	1
36	4	2.9748	1
37	1	2.51	1
38	2	1.6446	0
39	3	0.3842	1
40	4	2.8196	1
