trial	condition	RT	correct
1	1	2.0965	1
2	2	1.1881	0
3	3	0.4071	1
4	4	2.6403	1
5	1	1.9279	1
6	2	1.2918	0
7	3	0.0787	1
8	4	2.0233	1
9	1	2.038	1
10	2	1.0459	0
11	3	-0.0056	0
12	4	2.401	1
13	1	1.7789	0
14	2	1.4646	0
15	3	0.5505	1
16	4	2.6785	0
17	1	2.0639	1
18	2	1.3213	0
19	3	0.485	1
20	4	2.3758	0
21	1	2.4879	1
22	2	1.3798	0
23	3	0.4149	1
24	4	2.5295	1
25	1	2.7629	1
26	2	0.8419	0
27	3	0.2735	1
28	4	2.1634	1
29	1	2.8037	1
30	2	1.3779	1
31	3	0.1413	1
32	4	2.3009	1
33	1	1.8186	1
34	2	1.0297	1
35	3	-0.1947	1
36	4	2.1779	1
37	1	1.5555	1
38	2	1.1113	0
39	3	0.0219	0
40	4	2.3239	1
