trial	condition	RT	correct
1	1	1.7307	0
2	2	1.4002	0
3	3	0.5678	1
4	4	2.0376	0
5	1	1.9233	1
6	2	1.2425	0
7	3	-0.0194	1
8	4	2.4548	1
9	1	2.1354	1
10	2	1.4177	0
11	3	-0.061	1
12	4	2.003	1
13	1	2.2038	1
14	2	1.5193	1
15	3	0.4022	1
16	4	2.2179	1
17	1	1.8707	0
18	2	1.1708	0
19	3	-0.2983	0
20	4	2.5025	1
21	1	1.6803	0
22	2	1.2797	0
23	3	0.2852	0
24	4	2.0947	1
25	1	2.0561	1
26	2	1.6444	0
27	3	0.4281	1
28	4	2.0571	0
29	1	1.8926	1
30	2	0.9603	0
31	3	0.4292	1
32	4	2.7122	1
33	1	2.1744	1
34	2	1.1333	0
35	3	0.1895	0
36	4	2.6103	0
37	1	1.9201	1
38	2	1.3596	0
39	3	0.1361	1
40	4	2.3674	1
