trial	condition	RT	correct
1	1	2.6771	1
2	2	1.5734	0
3	3	0.944	1
4	4	2.4269	1
5	1	2.1008	0
6	2	1.9818	0
7	3	0.9374	1
8	4	3.0526	0
9	1	2.6664	1
10	2	1.9926	0
11	3	0.9039	0
12	4	2.9659	1
13	1	2.6923	1
14	2	1.9415	1
15	3	1.1928	1
16	4	3.6133	0
17	1	2.481	1
18	2	2.1232	0
19	3	0.696	1
20	4	2.6956	1
21	1	2.4493	1
22	2	1.8304	0
23	3	0.8705	1
24	4	2.8118	1
25	1	2.4198	1
26	2	1.7574	0
27	3	0.9669	1
28	4	2.6871	1
29	1	2.9181	1
30	2	2.0463	0
31	3	0.425	1
32	4	2.4697	1
33	1	3.0027	1
34	2	1.703	1
35	3	0.6557	1
36	4	2.389	0
37	1	2.4266	1
38	2	1.6767	0
39	3	1.0102	0
40	4	2.4647	1
