trial	condition	RT	correct
1	1	2.1609	1
2	2	1.4439	0
3	3	0.2659	1
4	4	2.5199	0
5	1	2.024	1
6	2	1.0877	0
7	3	0.4018	1
8	4	2.7084	1
9	1	2.1807	1
10	2	1.1221	0
11	3	0.7646	1
12	4	2.3171	1
13	1	1.9239	1
14	2	0.9341	0
15	3	0.1314	1
16	4	2.2418	1
17	1	2.3711	1
18	2	1.4211	0
19	3	0.019	1
20	4	2.7882	1
21	1	2.0627	0
22	2	1.9189	1
23	3	0.065	1
24	4	2.2401	0
25	1	2.1612	1
26	2	1.0772	0
27	3	0.1613	0
28	4	2.2213	1
29	1	1.9379	1
30	2	1.2457	0
31	3	0.4892	1
32	4	2.3919	0
33	1	2.3068	0
34	2	1.088	0
35	3	0.3674	1
36	4	2.527	0
37	1	1.7385	1
38	2	1.626	1
39	3	0.4939	1
40	4	2.2291	1
