trial	condition	RT	correct
1	1	2.5081	1
2	2	1.9558	0
3	3	0.6546	1
4	4	2.9054	0
5	1	2.8255	1
6	2	1.5338	0
7	3	0.5421	1
8	4	2.9625	1
9	1	2.1003	1
10	2	1.9829	0
11	3	0.6929	1
12	4	2.8057	1
13	1	2.4551	1
14	2	1.5227	0
15	3	0.9582	1
16	4	2.9799	0
17	1	2.6273	1
18	2	1.9031	1
19	3	1.1053	1
20	4	3.0077	0
21	1	2.874	1
22	2	1.4714	0
23	3	0.7142	1
24	4	2.4228	1
25	1	2.2868	0
26	2	1.4735	0
27	3	0.4767	1
28	4	2.6435	1
29	1	2.2592	1
30	2	1.9245	0
31	3	0.7157	1
32	4	3.1447	0
33	1	2.4236	1
34	2	1.6253	1
35	3	0.3006	1
36	4	2.4525	1
37	1	2.5653	1
38	2	1.4436	0
39	3	0.9173	1
40	4	2.5789	0
