trial	condition	RT	correct
1	1	2.4173	1
2	2	1.8647	0
3	3	0.6382	0
4	4	2.4669	0
5	1	2.5413	1
6	2	2.2667	0
7	3	1.0219	1
8	4	2.4284	1
9	1	2.4941	1
10	2	1.3879	0
11	3	0.58	1
12	4	2.6287	0
13	1	2.7929	1
14	2	1.7513	0
15	3	0.9499	0
16	4	2.8664	0
17	1	2.5739	1
18	2	1.5471	0
19	3	0.4621	1
20	4	3.098	1
21	1	2.2625	1
22	2	1.6491	0
23	3	0.7947	0
24	4	3.1463	1
25	1	2.9901	1
26	2	2.1629	0
27	3	0.9204	1
28	4	3.2424	1
29	1	2.5761	1
30	2	1.7415	1
31	3	0.758	1
32	4	3.2355	1
33	1	2.6981	1
34	2	1.7696	0
35	3	0.7845	0
36	4	2.3921	0
37	1	2.5392	0
38	2	1.58	0
39	3	0.9563	1
40	4	2.3536	1
