trial	condition	RT	correct
1	1	2.7756	0
2	2	1.3367	0
3	3	1.3273	1
4	4	2.8949	1
5	1	2.7489	1
6	2	2.0244	1
7	3	0.799	1
8	4	2.468	1
9	1	2.8868	1
10	2	1.9572	0
11	3	1.2695	1
12	4	2.6882	0
13	1	2.8802	1
14	2	2.2247	0
15	3	0.3628	1
16	4	3.137	1
17	1	2.5684	1
18	2	1.8896	0
19	3	0.8046	0
20	4	3.2356	0
21	1	2.7195	1
22	2	2.0739	0
23	3	1.1863	1
24	4	2.6629	1
25	1	2.7056	1
26	2	2.239	0
27	3	0.6167	1
28	4	2.9643	0
29	1	2.4428	1
30	2	1.7755	0
31	3	0.6245	1
32	4	2.3091	1
33	1	2.612	1
34	2	2.1068	0
35	3	0.934	0
36	4	2.7887	1
37	1	2.4564	1
38	2	1.9877	0
39	3	0.9385	0
40	4	2.7627	0
