trial	condition	RT	correct
1	1	2.5383	1
2	2	1.3936	0
3	3	0.78	0
4	4	2.7821	1
5	1	2.7489	1
6	2	1.647	0
7	3	1.0467	1
8	4	3.0303	1
9	1	3.1439	1
10	2	1.6584	0
11	3	0.8037	1
12	4	2.5713	0
13	1	2.3856	1
14	2	2.137	0
15	3	0.6714	1
16	4	2.5959	0
17	1	2.7957	1
18	2	1.6362	0
19	3	0.8931	1
20	4	3.3844	1
21	1	2.509	1
22	2	1.7886	0
23	3	0.4544	1
24	4	2.789	1
25	1	2.3246	1
26	2	1.9865	0
27	3	0.4342	1
28	4	2.9557	0
29	1	2.7495	1
30	2	1.8339	0
31	3	0.8732	1
32	4	3.158	1
33	1	2.6148	1
34	2	1.9736	0
35	3	0.5234	1
36	4	2.6868	1
37	1	2.7861	1
38	2	1.9621	0
39	3	0.8512	1
40	4	2.2307	1
