trial	condition	RT	correct
1	1	2.5307	1
2	2	2.0469	0
3	3	0.6518	1
4	4	2.8719	0
5	1	2.7451	1
6	2	1.4896	1
7	3	0.4181	1
8	4	2.5153	1
9	1	2.79	0
10	2	1.674	1
11	3	1.2142	1
12	4	2.6391	1
13	1	2.4855	1
14	2	1.6433	0
15	3	0.9412	1
16	4	2.9589	1
17	1	2.9793	1
18	2	1.8153	0
19	3	0.6286	1
20	4	2.8201	0
21	1	2.6962	1
22	2	1.8726	0
23	3	0.8172	1
24	4	2.7007	1
25	1	2.5907	1
26	2	1.9952	1
27	3	0.6879	1
28	4	2.3633	0
29	1	2.6884	1
30	2	1.6891	0
31	3	0.988	0
32	4	2.9792	0
33	1	2.8487	1
34	2	1.8893	0
35	3	0.8865	1
36	4	2.5866	1
37	1	2.4251	1
38	2	1.6883	0
39	3	0.6998	1
40	4	2.5838	1
