trial	condition	RT	correct
1	1	2.6145	1
2	2	1.84	0
3	3	0.6423	1
4	4	3.2024	1
5	1	2.1023	1
6	2	1.8954	0
7	3	0.7305	1
8	4	2.7886	1
9	1	2.5706	1
10	2	1.6244	0
11	3	0.5254	1
12	4	2.5634	1
13	1	2.6434	0
14	2	2.0257	0
15	3	0.8032	1
16	4	2.5443	0
17	1	2.8	1
18	2	1.4779	0
19	3	0.3604	0
20	4	2.8179	1
21	1	2.7581	1
22	2	1.805	1
23	3	0.6836	1
24	4	2.9264	1
25	1	2.8212	1
26	2	1.9761	0
27	3	0.5541	1
28	4	2.7725	1
29	1	2.5906	0
30	2	1.6106	0
31	3	0.8909	1
32	4	2.4412	1
33	1	2.8198	1
34	2	1.711	0
35	3	1.0891	1
36	4	2.5934	0
37	1	2.4968	1
38	2	1.5313	0
39	3	0.9967	1
40	4	2.9851	1
