trial	condition	RT	correct
1	1	2.1843	0
2	2	1.3018	0
3	3	0.498	1
4	4	2.3936	0
5	1	2.2846	1
6	2	1.1706	0
7	3	0.316	1
8	4	2.3651	0
9	1	2.1129	1
10	2	1.1241	0
11	3	0.3352	1
12	4	2.4473	1
13	1	2.1177	0
14	2	1.7225	0
15	3	0.1609	1
16	4	2.4318	0
17	1	2.5099	1
18	2	0.9541	0
19	3	0.3841	0
20	4	2.2747	1
21	1	2.3041	1
22	2	1.4557	0
23	3	0.2405	1
24	4	2.3249	1
25	1	2.0954	1
26	2	1.1373	0
27	3	0.2974	1
28	4	1.778	1
29	1	2.4	1
30	2	1.3361	1
31	3	0.8803	1
32	4	2.3908	0
33	1	2.0167	1
34	2	1.4637	0
35	3	0.6792	1
36	4	2.6133	0
37	1	1.9763	1
38	2	1.2002	0
39	3	0.3897	0
40	4	2.8496	1
