trial	condition	RT	correct
1	1	2.548	1
2	2	1.651	0
3	3	0.9446	1
4	4	3.0942	1
5	1	2.6744	1
6	2	1.9714	0
7	3	0.9409	1
8	4	3.1144	1
9	1	2.9551	0
10	2	1.8721	0
11	3	0.4622	1
12	4	2.3994	1
13	1	2.631	0
14	2	2.2106	0
15	3	1.1536	1
16	4	3.0277	1
17	1	2.4364	1
18	2	2.2131	1
19	3	0.882	1
20	4	2.9575	1
21	1	2.8094	1
22	2	1.5549	0
23	3	1.029	1
24	4	2.809	0
25	1	2.6134	1
26	2	1.7388	0
27	3	0.9085	1
28	4	2.8788	0
29	1	2.371	1
30	2	1.676	0
31	3	0.8371	0
32	4	2.9705	1
33	1	2.6599	1
34	2	1.5246	0
35	3	0.6275	0
36	4	2.9022	1
37	1	2.7596	1
38	2	2.0284	0
39	3	1.1016	1
40	4	2.7644	1
