trial	condition	RT	correct
1	1	2.4215	1
2	2	1.8308	0
3	3	0.944	1
4	4	3.1891	0
5	1	2.6164	1
6	2	2.1416	0
7	3	0.6811	1
8	4	2.814	1
9	1	2.6468	1
10	2	2.121	0
11	3	1.027	1
12	4	3.0566	0
13	1	2.8106	1
14	2	1.8497	0
15	3	0.8626	1
16	4	2.699	0
17	1	2.8931	1
18	2	1.9511	0
19	3	0.4636	1
20	4	2.6243	0
21	1	2.7429	1
22	2	1.2713	0
23	3	0.9675	1
24	4	3.0227	1
25	1	2.2876	1
26	2	2.4377	0
27	3	0.588	1
28	4	3.3221	1
29	1	2.4598	1
30	2	2.1419	0
31	3	0.4731	1
32	4	2.5797	1
33	1	2.8631	1
34	2	2.0346	1
35	3	0.473	1
36	4	2.3842	0
37	1	2.9622	1
38	2	1.5645	0
39	3	1.3262	0
40	4	2.7174	1
