trial	condition	RT	correct
1	1	2.133	1
2	2	0.9587	0
3	3	0.2006	1
4	4	2.3111	1
5	1	2.42	1
6	2	1.5973	0
7	3	-0.224	1
8	4	2.1236	1
9	1	1.6121	0
10	2	0.9643	0
11	3	-0.0127	1
12	4	2.1724	1
13	1	1.768	1
14	2	1.4485	0
15	3	0.484	0
16	4	2.4672	0
17	1	1.8262	1
18	2	1.0323	0
19	3	0.0916	1
20	4	2.386	1
21	1	2.3426	0
22	2	1.6183	0
23	3	0.4999	1
24	4	2.5594	1
25	1	2.3166	1
26	2	1.4179	0
27	3	0.468	1
28	4	2.6173	0
29	1	2.2788	0
30	2	1.5759	0
31	3	0.5545	1
32	4	2.381	0
33	1	2.2386	1
34	2	1.2257	0
35	3	0.4457	1
36	4	2.0557	0
37	1	2.3683	1
38	2	1.0739	0
39	3	0.3089	1
40	4	1.833	0
