trial	condition	RT	correct
1	1	1.9572	0
2	2	1.604	0
3	3	0.5539	1
4	4	2.8276	0
5	1	2.1494	0
6	2	1.2414	0
7	3	0.214	0
8	4	2.6338	1
9	1	1.92	1
10	2	1.2704	0
11	3	0.5602	1
12	4	2.1247	1
13	1	1.9283	1
14	2	1.16	0
15	3	-0.0432	1
16	4	2.6433	0
17	1	1.8208	1
18	2	1.3918	0
19	3	0.0345	1
20	4	1.9951	0
21	1	2.2584	1
22	2	1.206	0
23	3	0.036	1
24	4	2.8238	0
25	1	1.8172	1
26	2	1.4938	0
27	3	-0.0712	1
28	4	2.5358	0
29	1	2.1966	0
30	2	1.2879	0
31	3	0.3146	0
32	4	1.9896	1
33	1	2.4809	1
34	2	1.1673	0
35	3	0.2716	1
36	4	2.1567	0
37	1	2.4856	1
38	2	1.2322	1
39	3	0.3746	1
40	4	2.1606	0
