trial	condition	RT	correct
1	1	2.3963	1
2	2	1.5047	0
3	3	0.9036	1
4	4	2.8306	1
5	1	2.7907	1
6	2	1.7328	0
7	3	0.5204	1
8	4	2.7162	1
9	1	2.306	0
10	2	1.3502	1
11	3	0.6318	1
12	4	2.6865	1
13	1	3.2147	1
14	2	1.7245	1
15	3	0.9722	1
16	4	2.9071	0
17	1	2.7231	1
18	2	1.9141	0
19	3	0.8938	1
20	4	2.401	0
21	1	2.4178	1
22	2	2.0121	0
23	3	0.5866	1
24	4	2.9141	0
25	1	2.4429	1
26	2	2.1997	0
27	3	1.0069	1
28	4	2.7759	1
29	1	2.8576	1
30	2	1.999	0
31	3	0.7009	1
32	4	2.8983	0
33	1	2.4722	1
34	2	2.0913	0
35	3	0.4608	0
36	4	2.79	1
37	1	2.0558	1
38	2	1.545	0
39	3	0.5866	0
40	4	2.9645	1
