trial	condition	RT	correct
1	1	2.9077	1
2	2	1.887	0
3	3	1.0491	1
4	4	2.7126	0
5	1	2.6941	1
6	2	2.1119	0
7	3	0.953	1
8	4	2.8905	1
9	1	2.8003	1
10	2	1.9473	0
11	3	0.2181	1
12	4	2.2167	0
13	1	3.1884	1
14	2	1.7179	0
15	3	0.6177	1
16	4	2.6271	1
17	1	2.317	1
18	2	1.7065	0
19	3	0.6325	1
20	4	2.5009	1
21	1	3.2055	1
22	2	2.2749	0
23	3	0.4858	1
24	4	2.5305	1
25	1	2.6071	1
26	2	1.7549	0
27	3	1.3705	0
28	4	2.5414	0
29	1	2.8421	1
30	2	1.1471	0
31	3	0.7698	1
32	4	3.0189	1
33	1	2.3157	1
34	2	1.8555	0
35	3	1.0153	1
36	4	2.4584	0
37	1	2.6677	1
38	2	2.0605	0
39	3	1.1288	1
40	4	2.5686	1
