trial	condition	RT	correct
1	1	2.5105	1
2	2	1.361	0
3	3	0.3212	1
4	4	2.5675	0
5	1	2.7747	1
6	2	1.9079	0
7	3	1.1667	1
8	4	2.6637	1
9	1	2.4228	1
10	2	1.712	0
11	3	0.7778	0
12	4	2.6415	1
13	1	2.7876	1
14	2	1.8652	0
15	3	0.9403	0
16	4	2.7229	0
17	1	2.8569	1
18	2	1.7776	0
19	3	0.7763	1
20	4	2.5672	1
21	1	2.3237	1
22	2	1.8187	0
23	3	1.1682	1
24	4	2.5139	1
25	1	2.6434	1
26	2	1.4975	0
27	3	0.8573	1
28	4	2.9261	0
29	1	2.087	1
30	2	1.8921	0
31	3	1.166	1
32	4	2.3015	1
33	1	2.8685	0
34	2	2.0923	0
35	3	0.2268	1
36	4	2.9483	0
37	1	2.3246	1
38	2	1.4681	0
39	3	0.0877	0
40	4	2.5035	1
